City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cap-Haïtien,19.76,-72.2,81.79,75,93,12.88,HT,1604282210
Mount Isa,-20.73,139.5,95.0,10,0,10.29,AU,1604281995
Iskateley,67.68,53.15,32.85,97,100,11.27,RU,1604282210
San Policarpo,12.18,125.51,84.72,67,85,4.16,PH,1604282211
Montepuez,-13.13,39.0,67.66,80,0,1.77,MZ,1604282211
Hambantota,6.12,81.12,80.46,77,100,4.38,LK,1604281883
Villazón,-22.09,-65.59,47.39,60,11,11.05,BO,1604282212
Leningradskiy,69.38,178.42,17.01,83,83,4.43,RU,1604281830
Turan,16.07,108.22,80.6,74,40,2.24,VN,1604282141
Tateyama,34.98,139.87,68.0,93,75,14.99,JP,1604282212
Wattegama,6.8,81.48,78.58,81,100,0.98,LK,1604282212
Druzhba,52.04,33.95,46.51,90,96,6.08,UA,1604282213
Wasilla,61.58,-149.44,21.2,41,1,20.8,US,1604282213
Punta de Bombón,-17.17,-71.79,64.04,80,100,4.83,PE,1604282213
Oga,46.46,10.35,48.2,53,75,1.12,IT,1604282214
Kropotkin,45.44,40.58,57.0,76,100,12.84,RU,1604282214
Mosquera,4.71,-74.23,57.2,87,75,2.24,CO,1604282214
Tayu,-6.54,111.05,83.77,71,91,6.73,ID,1604282214
La Ronge,55.1,-105.28,37.4,95,99,3.36,CA,1604281803
Borba,-4.39,-59.59,74.82,96,100,2.24,BR,1604282215
Yuli,9.7,10.27,74.82,35,50,5.19,NG,1604282215
Barkly West,-28.54,24.52,53.6,93,0,3.36,ZA,1604282215
Hervey Bay,-25.3,152.85,84.99,58,40,17.22,AU,1604282203
Ayr,55.46,-4.63,50.0,81,75,12.75,GB,1604282216
Karatuzskoye,53.61,92.87,26.58,95,97,4.07,RU,1604282216
Marzuq,14.4,46.47,57.04,36,0,0.54,YE,1604281876
Ust'-Kut,56.79,105.77,17.78,84,39,4.27,RU,1604282216
Walvis Bay,-22.96,14.51,55.0,87,97,6.93,NA,1604282217
Luyang,27.62,110.1,56.73,83,99,1.52,CN,1604282217
Praia da Vitória,38.73,-27.07,62.6,82,75,16.06,PT,1604281996
Red Bluff,40.18,-122.24,75.2,25,1,4.7,US,1604282218
Sigli,5.38,95.96,81.93,72,100,2.51,ID,1604282218
Pierre,44.37,-100.35,45.0,39,1,10.29,US,1604281846
Iwanai,42.97,140.51,57.67,78,54,12.46,JP,1604282218
Rovinj,45.08,13.64,54.0,87,75,0.96,HR,1604282058
Kazanskoye,55.64,69.23,29.57,96,97,6.6,RU,1604282219
Rodolfo Sánchez Taboada,31.72,-116.57,64.0,86,0,1.99,MX,1604282219
Umm Kaddadah,13.6,26.69,78.37,25,18,22.28,SD,1604282219
Dryden,49.78,-92.75,24.8,53,90,10.29,CA,1604282219
Ryōtsu-minato,38.08,138.43,59.0,87,75,6.93,JP,1604282220
Dingle,11.0,122.67,82.98,81,72,13.02,PH,1604281809
Mirny,62.54,113.96,-5.8,83,0,6.71,RU,1604281862
Glace Bay,46.2,-59.96,50.0,81,75,14.99,CA,1604282220
Diego de Almagro,-26.37,-70.05,54.97,41,0,1.25,CL,1604282221
Atambua,-9.11,124.89,87.62,44,89,3.85,ID,1604282221
San Vicente,-26.62,-54.13,59.59,66,0,4.41,AR,1604282167
Le Creusot,46.81,4.42,63.0,73,100,1.01,FR,1604282221
Mīnāb,27.15,57.08,66.2,72,0,6.93,IR,1604282222
Kailua,21.4,-157.74,82.4,61,40,8.05,US,1604282222
Ous,60.91,61.52,23.95,96,48,4.03,RU,1604282222
Alta Floresta,-9.88,-56.09,70.57,98,100,1.99,BR,1604282222
Puri,19.8,85.85,80.6,83,36,4.7,IN,1604282223
Rabo de Peixe,37.8,-25.58,62.6,82,75,10.29,PT,1604282223
Manama,26.22,50.58,77.0,73,0,3.36,BH,1604282223
Vyāra,21.12,73.4,73.4,73,40,5.5,IN,1604282223
Aksarka,66.56,67.8,23.38,96,8,11.45,RU,1604282224
Cabedelo,-6.98,-34.83,78.8,83,75,6.93,BR,1604281849
Viedma,-40.81,-63.0,63.0,53,0,1.01,AR,1604281875
Port Hedland,-20.32,118.57,86.0,48,40,8.05,AU,1604282224
Virginia Beach,36.85,-75.98,57.2,87,1,6.93,US,1604281863
Deer Lake,49.17,-57.43,28.4,86,40,2.24,CA,1604282225
Kroya,-7.63,109.25,82.51,74,99,4.36,ID,1604282225
Albert,50.0,2.65,62.6,93,90,21.92,FR,1604282225
Los Andes,-32.83,-70.6,64.99,63,0,6.93,CL,1604282000
Narsaq,60.92,-46.05,24.8,68,0,3.36,GL,1604281870
Pueblo,38.25,-104.61,51.01,46,1,8.05,US,1604281977
Comodoro Rivadavia,-45.87,-67.5,66.2,63,0,4.14,AR,1604282174
Jiaocheng,24.68,116.14,74.35,55,72,5.66,CN,1604282227
Tefé,-3.35,-64.71,75.36,86,78,3.67,BR,1604282227
Hobyo,5.35,48.53,79.7,77,2,4.09,SO,1604282179
Nosy Varika,-20.58,48.53,69.48,70,90,0.78,MG,1604282227
Gualeguaychú,-33.01,-58.52,56.28,72,0,6.24,AR,1604281553
Juegang,32.32,121.19,68.0,1,87,1.01,CN,1604282228
Eilat,29.56,34.95,71.6,78,40,9.17,IL,1604282228
Faya,18.39,42.45,57.2,34,0,2.17,SA,1604281886
Corinth,37.94,22.96,55.99,65,0,1.25,GR,1604282228
Mannārakkāt,10.98,76.47,77.0,88,40,2.24,IN,1604282229
Key West,24.56,-81.78,80.6,83,1,4.7,US,1604282162
Vostok,46.49,135.88,34.14,87,50,5.41,RU,1604281853
Skellefteå,64.75,20.95,46.0,93,100,17.22,SE,1604282229
Verkhniye Kigi,55.41,58.6,30.24,95,0,3.38,RU,1604282230
Les Herbiers,46.87,-1.02,62.6,88,40,8.05,FR,1604282230
Kaihua,23.37,104.28,63.61,86,99,4.45,CN,1604282230
Lerwick,60.15,-1.15,50.0,81,69,35.57,GB,1604281875
Dunda,-8.12,34.25,64.08,77,30,1.39,TZ,1604282231
Safaga,26.73,33.94,73.4,69,40,8.05,EG,1604282231
San Antonio,29.42,-98.49,69.8,40,1,3.36,US,1604281965
Latung,5.5,120.88,83.21,77,100,14.16,PH,1604282232
Xichang,27.9,102.26,50.34,65,100,4.83,CN,1604282232
Martapura,-3.42,114.85,75.94,94,100,1.36,ID,1604281859
Bonfim,3.08,-59.95,79.07,80,100,5.86,BR,1604282232
Abu Samrah,35.3,37.18,58.75,76,100,3.38,SY,1604282232
Porkhov,57.77,29.56,37.4,93,0,4.47,RU,1604282233
San Miguel de Tucumán,-26.82,-65.22,75.2,31,0,5.82,AR,1604282233
Kefamenanu,-9.45,124.48,92.61,30,35,8.39,ID,1604282233
Zhigansk,66.77,123.37,1.78,91,100,21.59,RU,1604282233
Kisangani,0.52,25.2,69.49,98,100,0.29,CD,1604282234
San Quintín,30.48,-115.95,66.58,69,0,5.86,MX,1604282179
Grenfell,-33.9,148.17,70.32,54,35,8.39,AU,1604282234
A Coruña,43.37,-8.4,69.01,82,0,14.99,ES,1604282018
Vilyuysk,63.76,121.62,3.06,91,34,8.97,RU,1604282235
Harper,4.38,-7.72,77.07,90,10,6.02,LR,1604281855
Gizo Government Station,-8.1,156.84,85.68,68,12,1.43,SB,1604281860
Ames,42.03,-93.62,33.8,54,1,3.36,US,1604281940
Campbellsville,37.34,-85.34,41.0,44,1,6.93,US,1604282236
Dillon,34.42,-79.37,59.0,100,1,4.7,US,1604282236
Port Blair,11.67,92.75,82.4,73,4,4.5,IN,1604282236
Bambanglipuro,-7.95,110.28,83.73,68,36,8.57,ID,1604282237
Kirakira,-10.45,161.92,78.69,87,99,8.19,SB,1604282237
San Cristobal,7.77,-72.22,66.67,92,95,1.83,VE,1604282189
Henties Bay,-22.12,14.28,55.0,91,85,1.01,NA,1604282237
Concepción del Oro,24.63,-101.42,53.71,45,0,6.82,MX,1604282238
Kupang,-10.17,123.58,89.83,47,22,3.0,ID,1604282238
Agirish,61.92,63.02,25.18,96,100,8.9,RU,1604281842
Ossora,59.24,163.07,35.01,86,100,2.77,RU,1604281868
Payo,-3.75,103.64,82.31,69,99,1.39,ID,1604282238
Pemba,-12.97,40.52,75.9,71,40,1.01,MZ,1604282239
Kewanee,41.25,-89.92,35.01,52,0,1.99,US,1604282239
Bongandanga,1.5,21.05,69.31,98,100,2.35,CD,1604282239
Arrondissement de Clermont,49.5,2.42,64.4,88,90,19.46,FR,1604282239
Vila,42.03,-8.16,60.01,95,99,8.99,PT,1604281878
Pemangkat,1.17,108.97,82.36,76,100,3.29,ID,1604282240
Okhotsk,59.38,143.3,22.35,87,100,18.9,RU,1604281888
Corner Brook,48.97,-57.95,44.6,86,40,2.24,CA,1604282090
Turaif,31.67,38.66,59.0,93,40,8.05,SA,1604282241
Bayshore Gardens,27.43,-82.59,79.0,83,75,4.7,US,1604282241
Cape Canaveral,28.41,-80.6,75.99,83,75,3.44,US,1604282080
Bucerías,20.75,-105.33,78.06,84,1,3.13,MX,1604282242
Sukhobezvodnoye,57.05,44.89,33.94,91,100,4.12,RU,1604282242
Yenagoa,4.92,6.26,75.38,94,99,3.29,NG,1604282242
Tripoli,32.88,13.19,68.5,61,0,5.73,LY,1604282242
Port Moresby,-9.44,147.18,86.14,68,100,4.68,PG,1604282171
Rāmhormoz,31.28,49.6,59.88,52,0,2.28,IR,1604282243
Ubari,26.59,12.78,58.91,59,0,7.14,LY,1604282240
Sorrento,40.63,14.37,60.01,85,100,3.76,IT,1604282243
Udachny,66.42,112.4,6.8,84,0,8.95,RU,1604281894
Sampit,-2.53,112.95,83.46,80,86,2.66,ID,1604282244
Vardø,70.37,31.11,45.27,82,98,29.28,NO,1604281858
Bendigo,-36.77,144.28,78.01,32,32,5.41,AU,1604281990
Auki,-8.77,160.7,85.89,71,3,2.04,SB,1604281872
Raudeberg,61.99,5.14,46.99,84,100,24.56,NO,1604282244
Phang Nga,8.45,98.53,84.0,88,40,4.7,TH,1604282245
Namatanai,-3.67,152.43,84.36,71,55,3.18,PG,1604282236
Newport,51.59,-3.0,63.0,98,100,5.99,GB,1604282218
Juba,4.85,31.58,72.64,83,57,2.86,SS,1604282094
Guozhen,34.37,107.36,59.11,31,0,2.53,CN,1604282246
Oistins,13.07,-59.53,82.4,78,40,21.92,BB,1604282246
Raton,36.9,-104.44,51.8,40,1,3.36,US,1604282246
Kavaratti,10.57,72.64,81.0,71,0,1.74,IN,1604281892
Half Moon Bay,37.46,-122.43,69.01,87,1,8.05,US,1604282247
Ampanihy,-24.7,44.75,65.91,81,1,9.6,MG,1604282247
La Reforma,18.1,-91.02,73.35,95,94,8.93,MX,1604282247
Evensk,61.95,159.23,24.12,91,100,3.47,RU,1604282247
São Miguel do Araguaia,-13.28,-50.16,73.09,92,97,5.37,BR,1604282247
Campbell River,50.02,-125.24,42.8,93,75,2.24,CA,1604282160
Ust-Nera,64.57,143.2,-9.42,81,45,5.06,RU,1604281845
Bairiki Village,1.33,172.98,87.8,66,40,14.99,KI,1604281851
Sobolevo,54.43,31.9,41.59,91,100,8.08,RU,1604282248
Itaituba,-4.28,-55.98,82.24,62,100,2.1,BR,1604281891
São Filipe,14.9,-24.5,78.51,78,100,8.05,CV,1604282249
Mayumba,-3.43,10.66,76.87,89,100,3.18,GA,1604282083
Ixtepec,16.58,-95.1,76.78,66,95,18.92,MX,1604282249
Ancud,-41.87,-73.82,51.01,87,0,2.24,CL,1604281823
Ouallam,14.32,2.09,79.27,17,0,11.74,NE,1604282250
Kamenka,51.32,42.77,40.78,78,84,8.21,RU,1604282057
